experiment,model,split,candidate,pr_auc,roc_auc,precision,recall,f1,balanced_accuracy,positive_count,sample_count,protocol,target_country,transfer_gain
E6,GRU,test,source_pretrain,0.3291373560932294,0.9845210842065427,0.30612244897959184,0.7692307692307693,0.43795620437956206,0.8763889147387817,39.0,4172.0,ZeroShot,BG,
E6,GRU,test,B90,0.24369864754657633,0.9683907511151644,0.04918032786885246,1.0,0.09375,0.9087829663682555,39.0,4172.0,TargetOnly-B90,BG,
E6,GRU,test,B90,0.49550841796973333,0.9901542928399933,0.49019607843137253,0.6410256410256411,0.5555555555555556,0.8173674055600018,39.0,4172.0,TransferFineTune-B90,BG,0.251809770423157
E6,GRU,test,B180,0.5318259007402912,0.9853772326552389,0.19428571428571428,0.8717948717948718,0.3177570093457944,0.9188396086533033,39.0,4172.0,TargetOnly-B180,BG,
E6,GRU,test,B180,0.3182889535459581,0.9845272881808086,0.3684210526315789,0.358974358974359,0.36363636363636365,0.6765837195307314,39.0,4172.0,TransferFineTune-B180,BG,-0.21353694719433314
E6,GRU,macro_test,macro,0.4068986857578457,,,,,,,,summary,BG,
E6,GRU,test,source_pretrain,0.09383975880300136,0.9120446801784396,0.1079136690647482,0.6122448979591837,0.1834862385321101,0.7705515941316285,49.0,3535.0,ZeroShot,EE,
E6,GRU,test,B90,0.02059884093722059,0.5456285784537567,0.029595015576323987,0.3877551020408163,0.05499276410998553,0.6045201213015327,49.0,3535.0,TargetOnly-B90,EE,
E6,GRU,test,B90,0.082745560451768,0.9008219466788436,0.104,0.5306122448979592,0.17391304347826086,0.7331776083927547,49.0,3535.0,TransferFineTune-B90,EE,0.06214671951454741
E6,GRU,test,B180,0.024920725682246323,0.7332537145667217,0.013262599469496022,0.10204081632653061,0.023474178403755867,0.49766412589132036,49.0,3535.0,TargetOnly-B180,EE,
E6,GRU,test,B180,0.07175754957116853,0.896600981184212,0.06818181818181818,0.1836734693877551,0.09944751381215469,0.5741947381362184,49.0,3535.0,TransferFineTune-B180,EE,0.04683682388892221
E6,GRU,macro_test,macro,0.07725155501146827,,,,,,,,summary,EE,
E6,GRU,test,source_pretrain,0.05650677816964012,0.9105166303162486,0.05508474576271186,0.37142857142857144,0.0959409594095941,0.6591160032715376,35.0,4227.0,ZeroShot,LT,
E6,GRU,test,B90,0.0174536893473043,0.5809228462377317,0.011739594450373533,0.3142857142857143,0.02263374485596708,0.5466943838604144,35.0,4227.0,TargetOnly-B90,LT,
E6,GRU,test,B90,0.05093540269470389,0.9038167938931297,0.06172839506172839,0.14285714285714285,0.08620689655172414,0.5623636859323882,35.0,4227.0,TransferFineTune-B90,LT,0.03348171334739959
E6,GRU,test,B180,0.022427622172085326,0.5780602508178845,0.0166073546856465,0.4,0.03189066059225513,0.6011211832061069,35.0,4227.0,TargetOnly-B180,LT,
E6,GRU,test,B180,0.052194179106910946,0.9060046346782987,0.06593406593406594,0.17142857142857143,0.09523809523809523,0.5755759269356597,35.0,4227.0,TransferFineTune-B180,LT,0.02976655693482562
E6,GRU,macro_test,macro,0.051564790900807414,,,,,,,,summary,LT,
E6,GRU,test,source_pretrain,0.06648047724957121,0.9238466312668092,0.07929515418502203,0.5294117647058824,0.13793103448275862,0.7402041238535273,34.0,4299.0,ZeroShot,LV,
E6,GRU,test,B90,0.031248491859522217,0.6381215088614579,0.020602218700475437,0.38235294117647056,0.039097744360902256,0.6187262947382939,34.0,4299.0,TargetOnly-B90,LV,
E6,GRU,test,B90,0.06678236193407416,0.9163712847389835,0.06993006993006994,0.29411764705882354,0.11299435028248588,0.6314667953934211,34.0,4299.0,TransferFineTune-B90,LV,0.03553387007455194
E6,GRU,test,B180,0.020405131053548946,0.6905661678504931,0.03076923076923077,0.23529411764705882,0.05442176870748299,0.5881042686711261,34.0,4299.0,TargetOnly-B180,LV,
E6,GRU,test,B180,0.05692140865607187,0.9201641266119578,0.0759493670886076,0.17647058823529413,0.10619469026548672,0.5796772636369906,34.0,4299.0,TransferFineTune-B180,LV,0.03651627760252292
E6,GRU,macro_test,macro,0.06185188529507302,,,,,,,,summary,LV,
E6,GRU,test,source_pretrain,0.5387268010169337,0.9830077132350743,0.42857142857142855,0.7741935483870968,0.5517241379310345,0.879682501719035,62.0,4378.0,ZeroShot,RO,
E6,GRU,test,B90,0.3656157228684096,0.9583507728183204,0.08874801901743265,0.9032258064516129,0.16161616161616163,0.8850002989625998,62.0,4378.0,TargetOnly-B90,RO,
E6,GRU,test,B90,0.694983969222699,0.9867223235373255,0.5882352941176471,0.6451612903225806,0.6153846153846154,0.8193369009536906,62.0,4378.0,TransferFineTune-B90,RO,0.3293682463542894
E6,GRU,test,B180,0.38024512682713313,0.9633210260396425,0.30327868852459017,0.5967741935483871,0.40217391304347827,0.7885400161439804,62.0,4378.0,TargetOnly-B180,RO,
E6,GRU,test,B180,0.5224015635174033,0.9814456336512303,0.5636363636363636,0.5,0.5299145299145299,0.7472196478220574,62.0,4378.0,TransferFineTune-B180,RO,0.14215643669027017
E6,GRU,macro_test,macro,0.6086927663700512,,,,,,,,summary,RO,
