experiment,model,protocol,month,pr_auc,roc_auc,precision,recall,f1,balanced_accuracy,positive_count,sample_count
E6,GRU,TargetOnly-B180,2025-07,0.0172317830967016,0.7332822757111598,0.02127659574468085,0.04,0.027777777777777776,0.5137089715536105,25,3681
E6,GRU,TargetOnly-B180,2025-08,0.10959028706475303,0.7051882146818855,0.16666666666666666,0.14414414414414414,0.15458937198067632,0.5605645922101619,111,3587
E6,GRU,TargetOnly-B180,2025-09,0.21430234605119944,0.8231969186326432,0.184,0.3709677419354839,0.24598930481283424,0.670259990370727,62,3412
E6,GRU,TargetOnly-B180,2025-10,0.002286494956458849,0.39164046121593293,0.0,0.0,0.0,0.48982900943396224,9,3401
E6,GRU,TargetOnly-B180,2025-11,0.0015752016370362207,0.24604018912529554,0.0,0.0,0.0,0.49326241134751775,6,2826
E6,GRU,TargetOnly-B180,2025-12,0.0018093208494000578,0.47480620155038755,0.0,0.0,0.0,0.4991887506760411,6,3704
E6,GRU,TargetOnly-B90,2025-07,0.027000405877784055,0.780984682713348,0.03363914373088685,0.44,0.0625,0.6767833698030634,25,3681
E6,GRU,TargetOnly-B90,2025-08,0.11723133696393366,0.7897370903700017,0.11246200607902736,0.6666666666666666,0.19245773732119636,0.7493287303413885,111,3587
E6,GRU,TargetOnly-B90,2025-09,0.1149898306546073,0.8840154068367839,0.06277533039647577,0.9193548387096774,0.11752577319587629,0.8326624939817044,62,3412
E6,GRU,TargetOnly-B90,2025-10,0.002630690149899082,0.4750393081761006,0.0,0.0,0.0,0.38295990566037735,9,3401
E6,GRU,TargetOnly-B90,2025-11,0.0014430252240670832,0.17529550827423165,0.0,0.0,0.0,0.36843971631205674,6,2826
E6,GRU,TargetOnly-B90,2025-12,0.0015533941012993596,0.42806922660897784,0.0,0.0,0.0,0.3812871822606814,6,3704
E6,GRU,TransferFineTune-B180,2025-07,0.028758006138391187,0.8607877461706783,0.021897810218978103,0.12,0.037037037037037035,0.5416739606126915,25,3681
E6,GRU,TransferFineTune-B180,2025-08,0.25440606651084324,0.9062762417192797,0.3018867924528302,0.2882882882882883,0.29493087557603687,0.6334997252718771,111,3587
E6,GRU,TransferFineTune-B180,2025-09,0.4315983396460798,0.9676119402985075,0.5416666666666666,0.20967741935483872,0.3023255813953488,0.6031969186326432,62,3412
E6,GRU,TransferFineTune-B180,2025-10,0.40131138419017204,0.9319968553459119,0.6,0.3333333333333333,0.42857142857142855,0.6663718553459119,9,3401
E6,GRU,TransferFineTune-B180,2025-11,0.06439344574680743,0.9766548463356973,0.0,0.0,0.0,0.5,6,2826
E6,GRU,TransferFineTune-B180,2025-12,0.3374514374514374,0.9975211826212367,0.0,0.0,0.0,0.5,6,3704
E6,GRU,TransferFineTune-B90,2025-07,0.032162087951304916,0.8834573304157549,0.008064516129032258,0.04,0.013422818791946308,0.5031783369803063,25,3681
E6,GRU,TransferFineTune-B90,2025-08,0.32622702380928126,0.915648099192403,0.31007751937984496,0.36036036036036034,0.3333333333333333,0.6673781088338051,111,3587
E6,GRU,TransferFineTune-B90,2025-09,0.5373479973919731,0.9728310062590275,0.4520547945205479,0.532258064516129,0.4888888888888889,0.7601588830043331,62,3412
E6,GRU,TransferFineTune-B90,2025-10,0.35319446454432,0.9241024633123689,0.5,0.4444444444444444,0.47058823529411764,0.7216325995807128,9,3401
E6,GRU,TransferFineTune-B90,2025-11,0.05705313012359992,0.9738179669030732,0.0,0.0,0.0,0.5,6,2826
E6,GRU,TransferFineTune-B90,2025-12,0.5627889367128965,0.9969352803317107,0.0,0.0,0.0,0.5,6,3704
E6,GRU,ZeroShot,2025-07,0.03443978727880252,0.8954157549234135,0.038781163434903045,0.56,0.07253886010362694,0.7325437636761488,25,3681
E6,GRU,ZeroShot,2025-08,0.21260912129874449,0.9164982013083279,0.21926910299003322,0.5945945945945946,0.32038834951456313,0.763494075202936,111,3587
E6,GRU,ZeroShot,2025-09,0.3929914920427941,0.9702792489167068,0.2967741935483871,0.7419354838709677,0.423963133640553,0.8546990852190659,62,3412
E6,GRU,ZeroShot,2025-10,0.36048868012724355,0.9310141509433961,0.06741573033707865,0.6666666666666666,0.12244897959183673,0.8210986635220126,9,3401
E6,GRU,ZeroShot,2025-11,0.08900142094484877,0.9767139479905437,0.1,0.3333333333333333,0.15384615384615385,0.6634751773049645,6,2826
E6,GRU,ZeroShot,2025-12,0.21563003220611915,0.9964395168559581,0.2,0.8333333333333334,0.3225806451612903,0.9139625022534703,6,3704
